Wall time,Step,Value
1734114850.8030355,161106,-131.109619140625
1734114852.3680332,161226,-129.6990966796875
1734114916.7250328,166174,-126.5234375
1734114949.6590319,168711,-125.99140930175781
1734114951.2180321,168833,-125.50889587402344
1734114979.3950334,170996,-125.0642318725586
1734114980.8460321,171110,-124.60220336914062
1734115038.2890322,175514,-118.968017578125
1734115051.4470327,176516,-118.35840606689453
1734115064.2790341,177515,-116.33982849121094
1734115069.0200334,177890,-113.17247009277344
1734115125.6130323,182208,-108.93851470947266
1734115130.5030332,182582,-111.33334350585938
1734115154.633032,184306,-111.82585906982422
1734115160.0120344,184681,-113.37750244140625
1734115170.407032,185319,-113.11463928222656
1734115194.2060323,186846,-108.83584594726562
1734115214.5480337,188255,-106.67211151123047
1734115222.3980327,188864,-106.13316345214844
1734115264.9740338,192116,-110.42536163330078
1734115278.0170321,193129,-109.2860107421875
1734115336.0290327,197620,-100.82727813720703
1734115361.6310322,199592,-101.60427856445312
1734115391.214032,201826,-98.3967514038086
1734115394.5590339,202086,-100.21919250488281
1734115399.4980323,202471,-100.38368225097656
1734115406.4170315,203004,-99.10076141357422
1734115517.4060318,211555,-97.9062271118164
1734115521.101032,211841,-97.30792999267578
1734115541.7150333,213446,-95.14306640625
1734115546.9130323,213853,-95.59162902832031
1734115648.909032,221709,-102.42698669433594
1734115656.4270325,222280,-98.87480926513672
1734115672.5930321,223546,-97.18041229248047
1734115685.7230322,224565,-99.81212615966797
1734115723.7570317,227518,-100.99755859375
1734115743.8310328,229077,-103.7940444946289
1734115749.1400325,229499,-105.01879119873047
1734115761.0060322,230382,-103.75146484375
1734115762.7810314,230524,-102.91968536376953
1734115789.3380322,232614,-97.3861083984375
1734115811.0140316,234306,-95.48239135742188
1734115818.7130325,234905,-97.00008392333984
1734115828.594032,235645,-94.81237030029297
1734115832.6450322,235958,-95.26351165771484
1734115856.6750329,237825,-98.45661163330078
1734115858.4290328,237966,-98.48492431640625
1734115867.2840333,238655,-99.6297378540039
1734115892.0510325,240494,-99.25203704833984
1734116060.528032,253485,-97.88418579101562
1734116077.4150314,254782,-94.49085998535156
1734116096.0290318,256223,-93.27863311767578
1734116115.8700318,257764,-93.82772064208984
1734116141.6520333,259784,-95.1150894165039
1734116143.3580327,259920,-95.27494049072266
1734116151.2120326,260516,-95.886474609375
1734116153.0170336,260655,-97.0784912109375
1734116188.3730316,263413,-100.62808227539062
1734116286.1130333,270985,-94.45640563964844
1734116313.008032,273070,-88.91139221191406
1734116323.6020322,273898,-88.86888122558594
1734116366.999032,277264,-92.61995697021484
1734116375.7660322,277945,-98.61166381835938
1734116510.1680312,288374,-93.93158721923828
1734116554.2400327,291575,-90.67521667480469
1734116584.4300315,293919,-86.05947875976562
1734116647.577034,298808,-93.10460662841797
1734116729.768167,304569,-85.0813217163086
1734116739.9372282,305267,-83.57674407958984
1734116766.7115834,307069,-87.99703979492188
1734116783.9045851,308177,-91.15509796142578
1734116790.5495844,308600,-92.35237121582031
1734116828.6345825,311489,-89.43743133544922
1734116852.1555817,313314,-89.6908187866211
1734116860.8585832,313994,-89.79452514648438
1734116886.5565836,315970,-88.74878692626953
1734116890.2195852,316247,-87.11813354492188
1734116906.008584,317466,-87.20592498779297
1734116909.3995821,317725,-88.65274810791016
1734116974.3805852,322684,-89.5323257446289
